nohup: ignoring input
[0] bbox_docvqa_id=1 images=28/28 error=True
[1] bbox_docvqa_id=2 images=28/28 error=True
[0] bbox_docvqa_id=1 images=28/28 error=True
[0] bbox_docvqa_id=1 images=28/28 error=True
[0] bbox_docvqa_id=1 images=28/28 error=True
[2] bbox_docvqa_id=3 images=28/28 error=True
[1] bbox_docvqa_id=2 images=28/28 error=True
[3] bbox_docvqa_id=4 images=28/28 error=True
[1] bbox_docvqa_id=2 images=28/28 error=True
[4] bbox_docvqa_id=5 images=28/28 error=True
[1] bbox_docvqa_id=2 images=28/28 error=True
[2] bbox_docvqa_id=3 images=28/28 error=True
[5] bbox_docvqa_id=6 images=28/28 error=True
[0] bbox_docvqa_id=1 images=28/28 error=False
[2] bbox_docvqa_id=3 images=28/28 error=True
[2] bbox_docvqa_id=3 images=28/28 error=True
[6] bbox_docvqa_id=7 images=28/28 error=True
[3] bbox_docvqa_id=4 images=28/28 error=True
[7] bbox_docvqa_id=8 images=28/28 error=True
[3] bbox_docvqa_id=4 images=28/28 error=True
[8] bbox_docvqa_id=9 images=28/28 error=True
[0] bbox_docvqa_id=1 images=28/28 error=False
[3] bbox_docvqa_id=4 images=28/28 error=True
[4] bbox_docvqa_id=5 images=28/28 error=True
[9] bbox_docvqa_id=10 images=28/28 error=True
[4] bbox_docvqa_id=5 images=28/28 error=True
[4] bbox_docvqa_id=5 images=28/28 error=True
[5] bbox_docvqa_id=6 images=28/28 error=True
[1] bbox_docvqa_id=2 images=28/28 error=False
[5] bbox_docvqa_id=6 images=28/28 error=True
[5] bbox_docvqa_id=6 images=28/28 error=True
[6] bbox_docvqa_id=7 images=28/28 error=True
[1] bbox_docvqa_id=2 images=28/28 error=False
[6] bbox_docvqa_id=7 images=28/28 error=True
[6] bbox_docvqa_id=7 images=28/28 error=True
[7] bbox_docvqa_id=8 images=28/28 error=True
[7] bbox_docvqa_id=8 images=28/28 error=True
[2] bbox_docvqa_id=3 images=28/28 error=False
[8] bbox_docvqa_id=9 images=28/28 error=True
[8] bbox_docvqa_id=9 images=28/28 error=True
[7] bbox_docvqa_id=8 images=28/28 error=True
[0] bbox_docvqa_id=1 images=28/28 error=False
[2] bbox_docvqa_id=3 images=28/28 error=False
[9] bbox_docvqa_id=10 images=28/28 error=True
[9] bbox_docvqa_id=10 images=28/28 error=True
[8] bbox_docvqa_id=9 images=28/28 error=True
[10] bbox_docvqa_id=11 images=12/12 error=True
[10] bbox_docvqa_id=11 images=12/12 error=True
[3] bbox_docvqa_id=4 images=28/28 error=False
[11] bbox_docvqa_id=12 images=12/12 error=True
[11] bbox_docvqa_id=12 images=12/12 error=True
[9] bbox_docvqa_id=10 images=28/28 error=True
[12] bbox_docvqa_id=13 images=12/12 error=True
[10] bbox_docvqa_id=11 images=12/12 error=True
[12] bbox_docvqa_id=13 images=12/12 error=True
[13] bbox_docvqa_id=14 images=12/12 error=True
[13] bbox_docvqa_id=14 images=12/12 error=True
[11] bbox_docvqa_id=12 images=12/12 error=True
[14] bbox_docvqa_id=15 images=12/12 error=True
[14] bbox_docvqa_id=15 images=12/12 error=True
[15] bbox_docvqa_id=16 images=12/12 error=True
[4] bbox_docvqa_id=5 images=28/28 error=False
[12] bbox_docvqa_id=13 images=12/12 error=True
[16] bbox_docvqa_id=17 images=12/12 error=True
[15] bbox_docvqa_id=16 images=12/12 error=True
[13] bbox_docvqa_id=14 images=12/12 error=True
[16] bbox_docvqa_id=17 images=12/12 error=True
[17] bbox_docvqa_id=18 images=12/12 error=True
[3] bbox_docvqa_id=4 images=28/28 error=False
[18] bbox_docvqa_id=19 images=12/12 error=True
[14] bbox_docvqa_id=15 images=12/12 error=True
[17] bbox_docvqa_id=18 images=12/12 error=True
[18] bbox_docvqa_id=19 images=12/12 error=True
[5] bbox_docvqa_id=6 images=28/28 error=False
[19] bbox_docvqa_id=20 images=12/12 error=True
[15] bbox_docvqa_id=16 images=12/12 error=True
[1] bbox_docvqa_id=2 images=28/28 error=False
[19] bbox_docvqa_id=20 images=12/12 error=True
[20] bbox_docvqa_id=21 images=21/21 error=True
[16] bbox_docvqa_id=17 images=12/12 error=True
[4] bbox_docvqa_id=5 images=28/28 error=False
[20] bbox_docvqa_id=21 images=21/21 error=True
[21] bbox_docvqa_id=22 images=21/21 error=True
[17] bbox_docvqa_id=18 images=12/12 error=True
[22] bbox_docvqa_id=23 images=21/21 error=True
[21] bbox_docvqa_id=22 images=21/21 error=True
[18] bbox_docvqa_id=19 images=12/12 error=True
[6] bbox_docvqa_id=7 images=28/28 error=False
[23] bbox_docvqa_id=24 images=21/21 error=True
[22] bbox_docvqa_id=23 images=21/21 error=True
[19] bbox_docvqa_id=20 images=12/12 error=True
[5] bbox_docvqa_id=6 images=28/28 error=False
[24] bbox_docvqa_id=25 images=21/21 error=True
[23] bbox_docvqa_id=24 images=21/21 error=True
[20] bbox_docvqa_id=21 images=21/21 error=True
[25] bbox_docvqa_id=26 images=21/21 error=True
[21] bbox_docvqa_id=22 images=21/21 error=True
[24] bbox_docvqa_id=25 images=21/21 error=True
[26] bbox_docvqa_id=27 images=21/21 error=True
[7] bbox_docvqa_id=8 images=28/28 error=False
[22] bbox_docvqa_id=23 images=21/21 error=True
[25] bbox_docvqa_id=26 images=21/21 error=True
[27] bbox_docvqa_id=28 images=21/21 error=True
[23] bbox_docvqa_id=24 images=21/21 error=True
[26] bbox_docvqa_id=27 images=21/21 error=True
[28] bbox_docvqa_id=29 images=21/21 error=True
[24] bbox_docvqa_id=25 images=21/21 error=True
[29] bbox_docvqa_id=30 images=21/21 error=True
[27] bbox_docvqa_id=28 images=21/21 error=True
[25] bbox_docvqa_id=26 images=21/21 error=True
[30] bbox_docvqa_id=31 images=20/20 error=True
[28] bbox_docvqa_id=29 images=21/21 error=True
[26] bbox_docvqa_id=27 images=21/21 error=True
[8] bbox_docvqa_id=9 images=28/28 error=False
[31] bbox_docvqa_id=32 images=20/20 error=True
[6] bbox_docvqa_id=7 images=28/28 error=False
[27] bbox_docvqa_id=28 images=21/21 error=True
[2] bbox_docvqa_id=3 images=28/28 error=False
[29] bbox_docvqa_id=30 images=21/21 error=True
[32] bbox_docvqa_id=33 images=20/20 error=True
[30] bbox_docvqa_id=31 images=20/20 error=True
[10] bbox_docvqa_id=11 images=12/12 error=False
[33] bbox_docvqa_id=34 images=20/20 error=True
[28] bbox_docvqa_id=29 images=21/21 error=True
[31] bbox_docvqa_id=32 images=20/20 error=True
[34] bbox_docvqa_id=35 images=20/20 error=True
[29] bbox_docvqa_id=30 images=21/21 error=True
[9] bbox_docvqa_id=10 images=28/28 error=False
[32] bbox_docvqa_id=33 images=20/20 error=True
[35] bbox_docvqa_id=36 images=20/20 error=True
[30] bbox_docvqa_id=31 images=20/20 error=True
[33] bbox_docvqa_id=34 images=20/20 error=True
[36] bbox_docvqa_id=37 images=20/20 error=True
[34] bbox_docvqa_id=35 images=20/20 error=True
[31] bbox_docvqa_id=32 images=20/20 error=True
[37] bbox_docvqa_id=38 images=20/20 error=True
[35] bbox_docvqa_id=36 images=20/20 error=True
[32] bbox_docvqa_id=33 images=20/20 error=True
[38] bbox_docvqa_id=39 images=20/20 error=True
[36] bbox_docvqa_id=37 images=20/20 error=True
[10] bbox_docvqa_id=11 images=12/12 error=False
[33] bbox_docvqa_id=34 images=20/20 error=True
[39] bbox_docvqa_id=40 images=20/20 error=True
[40] bbox_docvqa_id=41 images=11/11 error=True
[37] bbox_docvqa_id=38 images=20/20 error=True
[41] bbox_docvqa_id=42 images=11/11 error=True
[34] bbox_docvqa_id=35 images=20/20 error=True
[42] bbox_docvqa_id=43 images=11/11 error=True
[7] bbox_docvqa_id=8 images=28/28 error=False
[43] bbox_docvqa_id=44 images=11/11 error=True
[38] bbox_docvqa_id=39 images=20/20 error=True
[44] bbox_docvqa_id=45 images=11/11 error=True
[35] bbox_docvqa_id=36 images=20/20 error=True
[45] bbox_docvqa_id=46 images=11/11 error=True
[46] bbox_docvqa_id=47 images=11/11 error=True
[39] bbox_docvqa_id=40 images=20/20 error=True
[40] bbox_docvqa_id=41 images=11/11 error=True
[11] bbox_docvqa_id=12 images=12/12 error=False
[36] bbox_docvqa_id=37 images=20/20 error=True
[47] bbox_docvqa_id=48 images=11/11 error=True
[48] bbox_docvqa_id=49 images=11/11 error=True
[41] bbox_docvqa_id=42 images=11/11 error=True
[42] bbox_docvqa_id=43 images=11/11 error=True
[49] bbox_docvqa_id=50 images=11/11 error=True
[37] bbox_docvqa_id=38 images=20/20 error=True
[43] bbox_docvqa_id=44 images=11/11 error=True
[44] bbox_docvqa_id=45 images=11/11 error=True
[50] bbox_docvqa_id=51 images=19/19 error=True
[45] bbox_docvqa_id=46 images=11/11 error=True
[3] bbox_docvqa_id=4 images=28/28 error=False
[38] bbox_docvqa_id=39 images=20/20 error=True
[46] bbox_docvqa_id=47 images=11/11 error=True
[12] bbox_docvqa_id=13 images=12/12 error=False
[47] bbox_docvqa_id=48 images=11/11 error=True
[51] bbox_docvqa_id=52 images=19/19 error=True
[48] bbox_docvqa_id=49 images=11/11 error=True
[49] bbox_docvqa_id=50 images=11/11 error=True
[39] bbox_docvqa_id=40 images=20/20 error=True
[52] bbox_docvqa_id=53 images=19/19 error=True
[40] bbox_docvqa_id=41 images=11/11 error=True
[41] bbox_docvqa_id=42 images=11/11 error=True
[50] bbox_docvqa_id=51 images=19/19 error=True
[42] bbox_docvqa_id=43 images=11/11 error=True
[53] bbox_docvqa_id=54 images=19/19 error=True
[13] bbox_docvqa_id=14 images=12/12 error=False
[43] bbox_docvqa_id=44 images=11/11 error=True
