nohup: ignoring input
[0] bbox_docvqa_id=1 resume_skip=True
[1] bbox_docvqa_id=2 resume_skip=True
[2] bbox_docvqa_id=3 resume_skip=True
[3] bbox_docvqa_id=4 resume_skip=True
[4] bbox_docvqa_id=5 resume_skip=True
[5] bbox_docvqa_id=6 resume_skip=True
[6] bbox_docvqa_id=7 resume_skip=True
[7] bbox_docvqa_id=8 resume_skip=True
[8] bbox_docvqa_id=9 resume_skip=True
[9] bbox_docvqa_id=10 images=1/1 error=False
[10] bbox_docvqa_id=11 images=1/1 error=False
[11] bbox_docvqa_id=12 images=1/1 error=False
[12] bbox_docvqa_id=13 images=1/1 error=False
[13] bbox_docvqa_id=14 images=1/1 error=False
[14] bbox_docvqa_id=15 images=1/1 error=False
[15] bbox_docvqa_id=16 images=1/1 error=False
[16] bbox_docvqa_id=17 images=1/1 error=False
[17] bbox_docvqa_id=18 images=1/1 error=False
[18] bbox_docvqa_id=19 images=1/1 error=False
[19] bbox_docvqa_id=20 images=1/1 error=False
[20] bbox_docvqa_id=21 images=1/1 error=False
[21] bbox_docvqa_id=22 images=1/1 error=False
[22] bbox_docvqa_id=23 images=1/1 error=False
[23] bbox_docvqa_id=24 images=1/1 error=False
[24] bbox_docvqa_id=25 images=1/1 error=False
[25] bbox_docvqa_id=26 images=1/1 error=False
[26] bbox_docvqa_id=27 images=1/1 error=False
[27] bbox_docvqa_id=28 images=1/1 error=False
[28] bbox_docvqa_id=29 images=1/1 error=False
[29] bbox_docvqa_id=30 images=1/1 error=False
[30] bbox_docvqa_id=31 images=1/1 error=False
[31] bbox_docvqa_id=32 images=1/1 error=False
[32] bbox_docvqa_id=33 images=1/1 error=False
[33] bbox_docvqa_id=34 images=1/1 error=False
[34] bbox_docvqa_id=35 images=1/1 error=False
[35] bbox_docvqa_id=36 images=1/1 error=False
[36] bbox_docvqa_id=37 images=1/1 error=False
[37] bbox_docvqa_id=38 images=1/1 error=False
[38] bbox_docvqa_id=39 images=1/1 error=False
[39] bbox_docvqa_id=40 images=1/1 error=False
[40] bbox_docvqa_id=41 images=1/1 error=False
[41] bbox_docvqa_id=42 images=1/1 error=False
[42] bbox_docvqa_id=43 images=1/1 error=False
[43] bbox_docvqa_id=44 images=1/1 error=False
[44] bbox_docvqa_id=45 images=1/1 error=False
[45] bbox_docvqa_id=46 images=1/1 error=False
[46] bbox_docvqa_id=47 images=1/1 error=False
[47] bbox_docvqa_id=48 images=1/1 error=False
[48] bbox_docvqa_id=49 images=1/1 error=False
[49] bbox_docvqa_id=50 images=1/1 error=False
[50] bbox_docvqa_id=51 images=1/1 error=False
[51] bbox_docvqa_id=52 images=1/1 error=False
[52] bbox_docvqa_id=53 images=1/1 error=False
[53] bbox_docvqa_id=54 images=1/1 error=False
