model,SPSR_correct,SPSR_total,SPSR_ratio,SPMR_correct,SPMR_total,SPMR_ratio,MPMR_correct,MPMR_total,MPMR_ratio,ALL_correct,ALL_total,ALL_ratio
crop__ernie-5.0,631,749,0.842456608811749,442,557,0.7935368043087971,256,318,0.8050314465408805,1329,1624,0.8183497536945813
crop__kimi-k2.5,634,749,0.8464619492656876,441,556,0.7931654676258992,243,318,0.7641509433962265,1318,1623,0.8120764017252002
crop__qwen3.5-27b,579,749,0.7730307076101469,439,556,0.789568345323741,232,318,0.7295597484276729,1250,1623,0.7701786814540974
crop__qwen3-vl-32b-instruct,567,749,0.7570093457943925,443,556,0.7967625899280576,216,318,0.6792452830188679,1226,1623,0.7553912507701787
crop__qwen3-vl-235b-a22b-instruct,568,749,0.7583444592790387,430,556,0.7733812949640287,226,318,0.710691823899371,1224,1623,0.7541589648798521
crop__claude-sonnent-4.6,585,750,0.78,401,556,0.7212230215827338,220,319,0.6896551724137931,1206,1625,0.7421538461538462
crop__qwen3.5-397b-a17b,560,749,0.7476635514018691,414,556,0.7446043165467626,223,318,0.7012578616352201,1197,1623,0.7375231053604436
crop__qwen3.5-122b-a10b,562,749,0.7503337783711616,404,556,0.7266187050359713,219,318,0.6886792452830188,1185,1623,0.7301293900184843
crop__qwen3-vl-8b-instruct,507,749,0.6769025367156208,381,556,0.685251798561151,181,318,0.5691823899371069,1069,1623,0.6586568083795441
crop__internvl3-38b,507,749,0.6769025367156208,371,556,0.6672661870503597,163,318,0.5125786163522013,1041,1623,0.6414048059149723
